poNumber,vendor,CardCode,LineNumber,ItemCode,Description,OrderedQty,ReceivedQty,BinCode
409869,DEUTZ CORPORATION (USD),P000108,0,1100554-DTZ,PLUG-IN SLEEVE,50.0,0.0,
409869,DEUTZ CORPORATION (USD),P000108,1,1137391-DTZ,HEXAGON BOLT,1.0,0.0,
409869,DEUTZ CORPORATION (USD),P000108,2,1215087-DTZ,SCREW PLUG,12.0,0.0,01-0646
409869,DEUTZ CORPORATION (USD),P000108,3,1216151-DTZ,BUSH,1.0,0.0,
409869,DEUTZ CORPORATION (USD),P000108,4,2233423-DTZ,COOLING FAN,2.0,0.0,01-2C01
409869,DEUTZ CORPORATION (USD),P000108,5,2238082-DTZ,SHAFT,4.0,0.0,01-1037
409869,DEUTZ CORPORATION (USD),P000108,6,2238156-DTZ,BREATHER,1.0,0.0,
409869,DEUTZ CORPORATION (USD),P000108,7,2239072-DTZ,RETAINING PLATE,1.0,0.0,
409869,DEUTZ CORPORATION (USD),P000108,8,3470246-DTZ,HEXAGON BOLT,4.0,0.0,01-0228
409869,DEUTZ CORPORATION (USD),P000108,9,4103932-DTZ,CYLIND.HEAD GASKET,1.0,0.0,
409869,DEUTZ CORPORATION (USD),P000108,10,4112204-DTZ,SCREW/BOLT,1.0,0.0,01
409869,DEUTZ CORPORATION (USD),P000108,11,4125150-DTZ,LUBRICAT. OIL LINE,1.0,0.0,
409869,DEUTZ CORPORATION (USD),P000108,12,4136484-DTZ,GASKET,2.0,0.0,01-0356
409869,DEUTZ CORPORATION (USD),P000108,13,4157075-DTZ,HEXAGON BOLT,10.0,0.0,01-0821
409869,DEUTZ CORPORATION (USD),P000108,14,4179845-DTZ,GASKET,1.0,0.0,01-1J08
409869,DEUTZ CORPORATION (USD),P000108,15,4198152-DTZ,MANIFOLD,4.0,0.0,01-00A05
409869,DEUTZ CORPORATION (USD),P000108,16,4231080-DTZ,MAIN BEARING,7.0,0.0,01-1I06
409869,DEUTZ CORPORATION (USD),P000108,17,4232680-DTZ,BIG END BEARING,3.0,0.0,01-0649
409869,DEUTZ CORPORATION (USD),P000108,18,4234148-DTZ,LUBRICAT. OIL PUMP,1.0,0.0,01-1C05
409869,DEUTZ CORPORATION (USD),P000108,19,4294164-DTZ,TAPPER COLLET,10.0,0.0,01-0765
409869,DEUTZ CORPORATION (USD),P000108,20,4300503-DTZ,LUBRICAT. OIL PUMP,1.0,0.0,
409869,DEUTZ CORPORATION (USD),P000108,21,4300600-DTZ,BLOWER JACKET,1.0,0.0,
409869,DEUTZ CORPORATION (USD),P000108,22,4503888-DTZ,GASKET,2.0,0.0,01-1059
409869,DEUTZ CORPORATION (USD),P000108,23,4231467-DTZ,BEARING LINER,3.0,0.0,01-3D03
409869,DEUTZ CORPORATION (USD),P000108,24,4280565-DTZ,SET OF PIST. RINGS,1.0,0.0,01-2A04
