TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH
bwuser,SBO_ACCOUNT_ATTR,1,GL_ACCOUNT,nvarchar,10
bwuser,SBO_ACCOUNT_ATTR,2,INCST_FLAG,varchar,1
bwuser,SBO_ACCOUNT_ATTR,3,BAL_FLAG,varchar,1
bwuser,SBO_ACCOUNT_TEXT,1,GL_ACCOUNT,nvarchar,15
bwuser,SBO_ACCOUNT_TEXT,2,TXTSH,nvarchar,20
bwuser,SBO_ACCOUNT_TEXT,3,TXTLG,nvarchar,60
bwuser,SBO_ALTACT_ATTR,1,SBO_ALTACT,nvarchar,10
bwuser,SBO_CUSTOMER_ATTR,1,CARDCODE,varchar,10
bwuser,SBO_CUSTOMER_ATTR,2,CITY,nvarchar,100
bwuser,SBO_CUSTOMER_ATTR,3,COUNTRY,nvarchar,3
bwuser,SBO_CUSTOMER_ATTR,4,FAX,nvarchar,20
bwuser,SBO_CUSTOMER_ATTR,5,CARDNAME,nvarchar,100
bwuser,SBO_CUSTOMER_ATTR,6,PHONE1,nvarchar,20
bwuser,SBO_CUSTOMER_ATTR,7,ZIPCODE,nvarchar,20
bwuser,SBO_CUSTOMER_ATTR,8,ADDRESS,nvarchar,100
bwuser,SBO_CUSTOMER_ATTR,9,CREATEDATE,varchar,8
bwuser,SBO_CUSTOMER_ATTR,10,UPDATEDATE,varchar,8
bwuser,SBO_CUSTOMER_TEXT,1,CARDCODE,nvarchar,15
bwuser,SBO_CUSTOMER_TEXT,2,CARDNAME,nvarchar,100
bwuser,SBO_FI_GL_01,1,GL_ACCOUNT,nvarchar,10
bwuser,SBO_FI_GL_01,2,SBO_ALTACT,nvarchar,10
bwuser,SBO_FI_GL_01,3,DEBIT,numeric,
bwuser,SBO_FI_GL_01,4,CREDIT,numeric,
bwuser,SBO_FI_GL_01,5,BALANCE,numeric,
bwuser,SBO_FI_GL_01,6,FISCPER,varchar,7
bwuser,SBO_FI_GL_01,7,CURRENCY,nvarchar,3
bwuser,SBO_FI_GL_01,8,CURTYPE,varchar,2
bwuser,SBO_FI_GL_02,1,AC_DOC_NO,int,
bwuser,SBO_FI_GL_02,2,ITEM_NUM,int,
bwuser,SBO_FI_GL_02,3,GL_ACCOUNT,nvarchar,10
bwuser,SBO_FI_GL_02,4,SBO_ALTACT,nvarchar,10
bwuser,SBO_FI_GL_02,5,DEBIT_LC,numeric,
bwuser,SBO_FI_GL_02,6,CREDIT_LC,numeric,
bwuser,SBO_FI_GL_02,7,LOC_CURRCY,nvarchar,3
bwuser,SBO_FI_GL_02,8,SBOCRD_SC,numeric,
bwuser,SBO_FI_GL_02,9,SBODBT_SC,numeric,
bwuser,SBO_FI_GL_02,10,SBOSYS_CUR,nvarchar,3
bwuser,SBO_FI_GL_02,11,DEBIT_DC,numeric,
bwuser,SBO_FI_GL_02,12,CREDIT_DC,numeric,
bwuser,SBO_FI_GL_02,13,DOC_CURRCY,nvarchar,3
bwuser,SBO_FI_GL_02,14,BALANCE,numeric,
bwuser,SBO_FI_GL_02,15,NETDUEDATE,varchar,8
bwuser,SBO_FI_GL_02,16,REF_DOC_AA,nvarchar,15
bwuser,SBO_FI_GL_02,17,SBOTRN_TYP,int,
bwuser,SBO_FI_GL_02,18,PSTNG_DATE,varchar,8
bwuser,SBO_FI_GL_02,19,REF_KEY1,nvarchar,100
bwuser,SBO_FI_GL_02,20,REF_KEY2,nvarchar,100
bwuser,SBO_FI_GL_02,21,REF_KEY3,int,
bwuser,SBO_FI_GL_02,22,REF_DOC_NO,nvarchar,11
bwuser,SBO_FI_GL_02,23,OPP_REF,nvarchar,20
bwuser,SBO_FI_GL_02,24,SBOTRN_COD,nvarchar,4
bwuser,SBO_FI_GL_02,25,SBOPFT_COD,nvarchar,8
bwuser,SBO_FI_GL_02,26,SBOTX_DATE,varchar,8
bwuser,SBO_FI_GL_02,27,BATCH,int,
bwuser,SBO_FI_GL_02,28,SBOVAT_GRP,nvarchar,8
bwuser,SBO_FI_GL_02,29,ID_BASE,numeric,
bwuser,SBO_FI_GL_02,30,ID_TXRATE,numeric,
bwuser,SBO_FI_GL_02,31,BBP_FLAG,nvarchar,2
bwuser,SBO_FI_GL_02,32,SBOADJ_IND,char,1
bwuser,SBO_FI_GL_02,33,SBOREV_IND,char,1
bwuser,SBO_FI_GL_02,34,CURRENCY,nvarchar,3
bwuser,SBO_FI_PC_01,1,PROFIT_CTR,varchar,10
bwuser,SBO_FI_PC_01,2,SBOPFT_COD,varchar,10
bwuser,SBO_FI_PC_01,3,CRM_DIRECT,char,1
bwuser,SBO_FI_PC_01,4,AC_DOC_NO,int,
bwuser,SBO_FI_PC_01,5,GL_ACCOUNT,nvarchar,10
bwuser,SBO_FI_PC_01,6,CALDAY,varchar,8
bwuser,SBO_FI_PC_01,7,ACCT_TYPE,char,1
bwuser,SBO_FI_PC_01,8,DEBIT,numeric,
bwuser,SBO_FI_PC_01,9,CREDIT,numeric,
bwuser,SBO_FI_PC_01,10,CURRENCY,nvarchar,3
bwuser,SBO_MATERIAL_ATTR,1,ITEMCODE,nvarchar,50
bwuser,SBO_MATERIAL_ATTR,2,CREATEDATE,varchar,8
bwuser,SBO_MATERIAL_ATTR,3,UPDATEDATE,varchar,8
bwuser,SBO_MATERIAL_TEXT,1,ITEMCODE,nvarchar,50
bwuser,SBO_MATERIAL_TEXT,2,ITEMNAME,nvarchar,100
bwuser,SBO_MATERIAL_TEXT,3,UPDATEDATE,varchar,8
bwuser,SBO_MATERIAL_TEXT,4,CREATEDATE,varchar,8
bwuser,SBO_PROFIT_COD_ATTR,1,SBOPFT_COD,varchar,10
bwuser,SBO_PROFIT_COD_TXT,1,SBOPFT_COD,varchar,10
bwuser,SBO_PROFIT_COD_TXT,2,TXTSH,nvarchar,20
bwuser,SBO_PROFIT_CTR_ATTR,1,PROFIT_CTR,varchar,10
bwuser,SBO_PROFIT_CTR_ATTR,2,SORT_COD,nvarchar,4
bwuser,SBO_PROFIT_CTR_ATTR,3,OBJ_CURR,nvarchar,3
bwuser,SBO_PROFIT_CTR_TXT,1,PROFIT_CTR,varchar,10
bwuser,SBO_PROFIT_CTR_TXT,2,TXTSH,nvarchar,20
bwuser,SBO_PROFIT_CTR_TXT,3,TXTMD,nvarchar,30
bwuser,SBO_PUR_GR_GRET,1,DOCENTRY,varchar,10
bwuser,SBO_PUR_GR_GRET,2,LINENUM,int,
bwuser,SBO_PUR_GR_GRET,3,RETURNID,varchar,1
bwuser,SBO_PUR_GR_GRET,4,ITEMCODE,nvarchar,50
bwuser,SBO_PUR_GR_GRET,5,CARDCODE,varchar,10
bwuser,SBO_PUR_GR_GRET,6,PODOCDATE,varchar,8
bwuser,SBO_PUR_GR_GRET,7,DOCDATE,varchar,8
bwuser,SBO_PUR_GR_GRET,8,CREATEDATE,varchar,8
