ItemCode,ItemName,Warehouse,BinCode,QtyInBin,TotalOnHand,InvntryUom,FrozenFor
00000001-HTZ,PARTS BOOK E573-673,01,01-XXX,1.0,1.0,UN,N
00000011-HTZ,PARTS BOOK 234M31-M4,01,01-XXX,2.0,2.0,UN,N
00000050-HTZ,REPAIR MANUEL E573/673,01,01-BD01,1.0,1.0,UN,N
00000054-HTZ,REPAIR MAN Z782-790,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00000059-HTZ,REP. MAN. 1B,01,01-XXX,0.0,0.0,UN,N
00000119-HTZ,EPO CD VERSION M,01,01-XXX,3.0,3.0,UN,N
000-03873-LST,7/16-14X3/4 HHCS 5 P,01,01-07D30,2.0,2.0,UN,N
000-04163-LST,8 Z 12 METRIC KEY,01,01-07B44,2.0,2.0,UN,N
000-04163-LST,8 Z 12 METRIC KEY,01,01-07D48,0.0,2.0,UN,N
000-04179-LST,LOWER BRACKET,01,01-07D30,2.0,2.0,UN,N
000-04180-LST,ADJ STRAP BRACKET,01,01-07D30,2.0,2.0,UN,N
000-04181-LST,UPPER BRACKET,01,01-07D28,2.0,2.0,UN,N
000-04186-LST,POP RIVET,01,01-07D30,12.0,12.0,UN,N
000-07149-LST,MOUNTING BRACKET,01,01-07C36,1.0,1.0,UN,N
000-08798-LST,SPARK PLUG,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
000-09507-LST,COOLANT HEATER,01,01-07D02,0.0,0.0,UN,N
000-11533-LST,STARTER,01,01-07B24,1.0,1.0,UN,N
001-04061-60-SUB,FLANGE BOLT,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
001-04062-00-SUB,FLANGE BOLT,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
001-10061-00-SUB,BOLT & WASHER,01,01-02C52,2.0,2.0,UN,N
001-10061-40-SUB,BOLT & WASHER,01,01-02C52,3.0,3.0,UN,N
001-10081-20-SUB,BOLT,01,01-02C52,10.0,10.0,UN,N
001-11062-00-SUB,BOLT & WASHER,01,01-02H82,2.0,2.0,UN,N
001-13064-00-SUB,BOLT,01,01-02C52,7.0,7.0,UN,N
001-14062-50-SUB,BOLT & WASHER,01,01-02F72,0.0,0.0,UN,N
001-17052-00-SUB,BOLT,01,01-02C52,4.0,4.0,UN,N
001-31083-01-SUB,STUD,01,01-02C52,0.0,0.0,UN,N
001-70060-80-SUB,BOLT (CROSS RECESS),01,01-02D62,1.0,1.0,UN,N
002-00125-LST,STARTING HANDLE CLUTCH PIN,01,01-07C30,1.0,1.0,UN,N
002-0030V-NWG,OIL SEAL,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
002-0350-NWG,O Ring,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
002-0360-NWG,O Ring,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
002-17050-00-SUB,NUT,01,01-02C56,2.0,2.0,UN,N
002-18050-00-SUB,REF. 7020,01,01-02I42,0.0,0.0,UN,N
002-18100-00-SUB,NUT,01,01-02C52,0.0,0.0,UN,N
